Month,Count,Direction,CLPR,Visa,Citizenship
2005-04-01,105,Arrivals,India,Residence,Non-New Zealand
2005-04-01,8,Arrivals,India,Student,Non-New Zealand
2005-04-01,279,Arrivals,India,TOTAL,Non-New Zealand
2005-04-01,97,Arrivals,India,Visitor,Non-New Zealand
2005-04-01,64,Arrivals,India,Work,Non-New Zealand
2005-05-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-05-01,0,Arrivals,India,Other,Non-New Zealand
2005-05-01,106,Arrivals,India,Residence,Non-New Zealand
2005-05-01,23,Arrivals,India,Student,Non-New Zealand
2005-05-01,322,Arrivals,India,TOTAL,Non-New Zealand
2005-05-01,123,Arrivals,India,Visitor,Non-New Zealand
2005-05-01,70,Arrivals,India,Work,Non-New Zealand
2005-06-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-06-01,2,Arrivals,India,Other,Non-New Zealand
2005-06-01,81,Arrivals,India,Residence,Non-New Zealand
2005-06-01,25,Arrivals,India,Student,Non-New Zealand
2005-06-01,240,Arrivals,India,TOTAL,Non-New Zealand
2005-06-01,83,Arrivals,India,Visitor,Non-New Zealand
2005-06-01,49,Arrivals,India,Work,Non-New Zealand
2005-07-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-07-01,8,Arrivals,India,Other,Non-New Zealand
2005-07-01,60,Arrivals,India,Residence,Non-New Zealand
2005-07-01,173,Arrivals,India,Student,Non-New Zealand
2005-07-01,376,Arrivals,India,TOTAL,Non-New Zealand
2005-07-01,94,Arrivals,India,Visitor,Non-New Zealand
2005-07-01,41,Arrivals,India,Work,Non-New Zealand
2005-08-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-08-01,0,Arrivals,India,Other,Non-New Zealand
2005-08-01,72,Arrivals,India,Residence,Non-New Zealand
2005-08-01,76,Arrivals,India,Student,Non-New Zealand
2005-08-01,283,Arrivals,India,TOTAL,Non-New Zealand
2005-08-01,97,Arrivals,India,Visitor,Non-New Zealand
2005-08-01,37,Arrivals,India,Work,Non-New Zealand
2005-09-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-09-01,0,Arrivals,India,Other,Non-New Zealand
2005-09-01,52,Arrivals,India,Residence,Non-New Zealand
2005-09-01,31,Arrivals,India,Student,Non-New Zealand
2005-09-01,191,Arrivals,India,TOTAL,Non-New Zealand
2005-09-01,66,Arrivals,India,Visitor,Non-New Zealand
2005-09-01,42,Arrivals,India,Work,Non-New Zealand
2005-10-01,2,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-10-01,2,Arrivals,India,Other,Non-New Zealand
2005-10-01,78,Arrivals,India,Residence,Non-New Zealand
2005-10-01,34,Arrivals,India,Student,Non-New Zealand
2005-10-01,246,Arrivals,India,TOTAL,Non-New Zealand
