Month,Count,Direction,CLPR,Visa,Citizenship
2004-03-01,7,Arrivals,Philippines,Student,Non-New Zealand
2004-03-01,76,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-03-01,43,Arrivals,Philippines,Visitor,Non-New Zealand
2004-03-01,1,Arrivals,Philippines,Work,Non-New Zealand
2004-04-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-04-01,0,Arrivals,Philippines,Other,Non-New Zealand
2004-04-01,18,Arrivals,Philippines,Residence,Non-New Zealand
2004-04-01,7,Arrivals,Philippines,Student,Non-New Zealand
2004-04-01,83,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-04-01,52,Arrivals,Philippines,Visitor,Non-New Zealand
2004-04-01,6,Arrivals,Philippines,Work,Non-New Zealand
2004-05-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-05-01,2,Arrivals,Philippines,Other,Non-New Zealand
2004-05-01,15,Arrivals,Philippines,Residence,Non-New Zealand
2004-05-01,2,Arrivals,Philippines,Student,Non-New Zealand
2004-05-01,66,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-05-01,40,Arrivals,Philippines,Visitor,Non-New Zealand
2004-05-01,7,Arrivals,Philippines,Work,Non-New Zealand
2004-06-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-06-01,3,Arrivals,Philippines,Other,Non-New Zealand
2004-06-01,27,Arrivals,Philippines,Residence,Non-New Zealand
2004-06-01,3,Arrivals,Philippines,Student,Non-New Zealand
2004-06-01,82,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-06-01,48,Arrivals,Philippines,Visitor,Non-New Zealand
2004-06-01,1,Arrivals,Philippines,Work,Non-New Zealand
2004-07-01,3,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-07-01,2,Arrivals,Philippines,Other,Non-New Zealand
2004-07-01,29,Arrivals,Philippines,Residence,Non-New Zealand
2004-07-01,12,Arrivals,Philippines,Student,Non-New Zealand
2004-07-01,106,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-07-01,52,Arrivals,Philippines,Visitor,Non-New Zealand
2004-07-01,8,Arrivals,Philippines,Work,Non-New Zealand
2004-08-01,3,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-08-01,3,Arrivals,Philippines,Other,Non-New Zealand
2004-08-01,25,Arrivals,Philippines,Residence,Non-New Zealand
2004-08-01,13,Arrivals,Philippines,Student,Non-New Zealand
2004-08-01,92,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-08-01,37,Arrivals,Philippines,Visitor,Non-New Zealand
2004-08-01,11,Arrivals,Philippines,Work,Non-New Zealand
2004-09-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-09-01,5,Arrivals,Philippines,Other,Non-New Zealand
2004-09-01,29,Arrivals,Philippines,Residence,Non-New Zealand
2004-09-01,6,Arrivals,Philippines,Student,Non-New Zealand
2004-09-01,67,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-09-01,23,Arrivals,Philippines,Visitor,Non-New Zealand
2004-09-01,4,Arrivals,Philippines,Work,Non-New Zealand
2004-10-01,2,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-10-01,2,Arrivals,Philippines,Other,Non-New Zealand
2004-10-01,34,Arrivals,Philippines,Residence,Non-New Zealand
2004-10-01,6,Arrivals,Philippines,Student,Non-New Zealand
2004-10-01,91,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-10-01,42,Arrivals,Philippines,Visitor,Non-New Zealand
2004-10-01,5,Arrivals,Philippines,Work,Non-New Zealand
2004-11-01,2,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-11-01,4,Arrivals,Philippines,Other,Non-New Zealand
2004-11-01,15,Arrivals,Philippines,Residence,Non-New Zealand
2004-11-01,7,Arrivals,Philippines,Student,Non-New Zealand
2004-11-01,76,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-11-01,44,Arrivals,Philippines,Visitor,Non-New Zealand
2004-11-01,4,Arrivals,Philippines,Work,Non-New Zealand
2004-12-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-12-01,13,Arrivals,Philippines,Other,Non-New Zealand
2004-12-01,15,Arrivals,Philippines,Residence,Non-New Zealand
2004-12-01,13,Arrivals,Philippines,Student,Non-New Zealand
