"Date","Decision Type","Application Substream","Count"
2017-09-30,"Approved","Skilled Migrant",6
2017-09-30,"Approved","Skilled Work",3555
2017-09-30,"Approved","Work -RSE",567
2017-09-30,"Approved","Work to Residence",648
2017-09-30,"Approved","Working Holiday",6738
2017-09-30,"Declined","Approved In Principle",24
2017-09-30,"Declined","Crew",3
2017-09-30,"Declined","Humanitarian",75
2017-09-30,"Declined","Job Search",18
2017-09-30,"Declined","LTBV/Investor",57
2017-09-30,"Declined","Other",366
2017-09-30,"Declined","Relationship",411
2017-09-30,"Declined","Section 61",3
2017-09-30,"Declined","Skilled Work",579
2017-09-30,"Declined","Work -RSE",3
2017-09-30,"Declined","Work to Residence",75
2017-09-30,"Declined","Working Holiday",246
2017-10-31,"Approved","Approved In Principle",186
2017-10-31,"Approved","Crew",393
2017-10-31,"Approved","Humanitarian",84
2017-10-31,"Approved","Job Search",999
2017-10-31,"Approved","LTBV/Investor",27
2017-10-31,"Approved","Other",2988
2017-10-31,"Approved","Relationship",2853
2017-10-31,"Approved","Section 61",168
2017-10-31,"Approved","Skilled Migrant",12
2017-10-31,"Approved","Skilled Work",3387
2017-10-31,"Approved","Work -RSE",1998
2017-10-31,"Approved","Work to Residence",624
