"Year Ended May","Decision Type","Nationality","Occupation Skill Level","Count"
"2016 PARTIAL (Jul-May)","Approved","Kiribati","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Kiribati","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Kiribati","Skill level 4",30
"2016 PARTIAL (Jul-May)","Approved","Kiribati","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Kosovo - Republic of","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Kosovo - Republic of","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Kosovo - Republic of","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Kuwait","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Kuwait","Skill level 1",0
"2016 PARTIAL (Jul-May)","Approved","Kyrgyzstan","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Kyrgyzstan","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Kyrgyzstan","Skill level 3",6
"2016 PARTIAL (Jul-May)","Approved","Laos","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Laos","Skill level 1",0
"2016 PARTIAL (Jul-May)","Approved","Laos","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Laos","Skill level 3",3
"2016 PARTIAL (Jul-May)","Approved","Latvia","(not recorded)",147
"2016 PARTIAL (Jul-May)","Approved","Latvia","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Latvia","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Latvia","Skill level 3",9
"2016 PARTIAL (Jul-May)","Approved","Latvia","Skill level 4",9
"2016 PARTIAL (Jul-May)","Approved","Latvia","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Lebanon","(not recorded)",12
"2016 PARTIAL (Jul-May)","Approved","Lebanon","Skill level 1",3
"2016 PARTIAL (Jul-May)","Approved","Lebanon","Skill level 2",6
"2016 PARTIAL (Jul-May)","Approved","Lebanon","Skill level 3",3
